City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
BELAGAVI,29010802601,2015-16,MARATHI LOWER PRIMARY SCHOOL BALGUND,KHANAPUR,NAGARGALI,BALGUND,Karnataka,591301,,,,ChIJ3doRlYpjvzsRwXgILOizTNo,C,City,belagavi,Marathi Primary School Play Ground,"Ganeshpur, Belagavi, Karnataka 591108, India"
BELAGAVI,29010201706,2015-16,KHPS BELAVADI (J.K) BELAVADI,BAILHONGAL,BELAVADI,BELAVADI,Karnataka,591104,,,,,,,,,
BELAGAVI,29010212501,2015-16,K.H.P.S. YARAGOPP,BAILHONGAL,SAMPAGAON,YARAGOPP,Karnataka,591125,,,,,,,,,
BELAGAVI,29010212601,2015-16,K.H.P.S. YARAGUDDI,BAILHONGAL,HANNIKERI,YARAGUDDI,Karnataka,591102,,,,,,,,,
BELAGAVI,29010213720,2015-16,K.B.S.No 5 Bailhongal,BAILHONGAL,BAILHONGAL,WARD NO 3,Karnataka,591102,,,,ChIJ36i0vt5RvzsRZzh0YCglZFI,A,Street Address,bailhongal,S.N.V.V.S College,"SH31, Bailhongal, Karnataka 591102, India"
BELAGAVI,29010810201,2015-16,MARATHI HIGHER PRIMARY SCHOOL KHAIRWAD,KHANAPUR,TOLAGI,KHAIRWAD,Karnataka,591120,,,,,,,,,
BELAGAVI,29011101301,2015-16,KANNADA LOWER PRIMARY SCHOOL CHANNAPUR (S.L.T.),RAMDURG,HANAMAPUR,CHANNAPUR,Karnataka,591123,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29011101302,2015-16,KANNADA HIGHER PRIMARY SCHOOLCHANNAPUR ( D.L.T),RAMDURG,HANAMAPUR,CHANNAPUR,Karnataka,591123,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
BALLARI,29120105518,2015-16,GHS KURUGODU (GOVT PU),BALLARI WEST,KURUGODU,KURUGODU,Karnataka,583116,,,,,,,,,
MYSURU,29260606201,2015-16,"GOVT HIGHER PRIMARY SCHOOL, HADYA",KRISHNARAJANAGARA,MAYIGOWDANAHALLI,HADYA,Karnataka,571617,,,,ChIJ_4nYYVVlrzsRUF3PZ-MLxh4,C,City,mysuru,Govt Higher Primary School,"Near Aravindnagar Main Road, Arvindnagar, Mysuru, Karnataka 570023, India"
MYSURU,29260321401,2015-16,GOVT HIGHER UPGRADED PRIMARY SCHOOL DODDABARAGI,H.D.KOTE,M C THALALU,DODDA BARAGE,Karnataka,571121,,,,,,,,,
MYSURU,29260301001,2015-16,GOVT HIGHER PRIMARY SCHOOL MAGUDILU,H.D.KOTE,BEECHANA HALLI,MAGUDILU,Karnataka,571116,,,,ChIJ_4nYYVVlrzsRUF3PZ-MLxh4,C,City,mysuru,Govt Higher Primary School,"Near Aravindnagar Main Road, Arvindnagar, Mysuru, Karnataka 570023, India"
BELAGAVI,29010411507,2015-16,KANNADA LOWER PRIMARY SCHOOL SHRI KALMESHWAR TUMARAGUDDI,BELGAUM RURAL.,HUDLI,TUMARAGUDDI,Karnataka,590016,,,,ChIJz9BhY8RmvzsRqAhgZ5Z6YSk,B,Pincode,590016,Government Kannada Primary School No 40,"NH-4 Service Road, Old Gandhi Nagar, Belagavi, Karnataka 590016, India"
BELAGAVI,29010803902,2015-16,URDU LOWER PRIMARY SCHOOL CHUNCHWAD,KHANAPUR,KAKKERI,CHUNCHWAD,Karnataka,591106,,,,ChIJGTc2zbRmvzsRKsWBMxijl28,C,City,belagavi,Madni Urdu Lower Primary School Belgaum,"Subhash Nagar, Belagavi, Karnataka 590016, India"
BELAGAVI,29010804001,2015-16,MARATHI HIGHER PRIMARY SCHOOL CHAPAGAON,KHANAPUR,CHAPGAON,CHAPAGAON,Karnataka,591120,,,,,,,,,
