City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
AHMADNAGAR,27260112401,2015-16,Z.P.P.SCHOOL PIMPALDARAWADI,AKOLE,PADOSHI,PIMPALDARAWADI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112402,2015-16,Z.P.P.SCHOOL RAMWADI (PIMPALDARAWADI),AKOLE,PADOSHI,PIMPALDARAWADI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112501,2015-16,Z.P.P.SCHOOL SHEREWADI (PADOSHI),AKOLE,PADOSHI,PADOSHI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112502,2015-16,Z.P.P.SCHOOL PADOSHI,AKOLE,PADOSHI,PADOSHI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260116401,2015-16,Z.P.P.SCHOOL SHILAWANDI,AKOLE,VIHIR,SHILWANDI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116402,2015-16,SANT N.V.S. SHILAWANDI,AKOLE,VIHIR,SHILWANDI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260112503,2015-16,Z.P.P.SCHOOL WAKHARI,AKOLE,PADOSHI,PADOSHI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112504,2015-16,MANANIY MADHUKARRAO PICHAD MADYHAMIK VID. PADOSHI,AKOLE,PADOSHI,PADOSHI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112601,2015-16,Z.P.P.SCHOOL POPERWADI,AKOLE,KELI RUMHANWADI,POPEREWADI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260112701,2015-16,Z.P.P.SCHOOL THAKARWADI (PI.NIPANI),AKOLE,GANORE,PIMPALGAON NIPANI,Maharashtra,422609,,,,,,,,,
AHMADNAGAR,27260116501,2015-16,Z.P.P.SCHOOL SATEWADI,AKOLE,JAMBHALEWADI,SATEWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116503,2015-16,Z.P.P.SCHOOL KHAUTI,AKOLE,JAMBHALEWADI,SATEWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116504,2015-16,Z.P.P.SCHOOL JAMBHALEWADI,AKOLE,JAMBHALEWADI,SATEWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116505,2015-16,NEW ENGLISH SCHOOL JAMBHALEWADI,AKOLE,JAMBHALEWADI,SATEWADI,Maharashtra,422610,,,,ChIJI_UwfpZAwzsRxdyVXH2d4xE,C,City,ahmadnagar,New English School,"Madhe Vadgaon, Ahmadnagar, SH-10, Ahmed Nagar Yeola Road, Ahmednagar, Ahmednagar, Maharashtra 413726, India"
AHMADNAGAR,27260112702,2015-16,Z.P.P.SCHOOL PI. NIPANI,AKOLE,GANORE,PIMPALGAON NIPANI,Maharashtra,422609,,,,,,,,,
