City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
UDAIPUR,8260208403,2015-16,G.P.S.UPLA TAKDA,BADGAON,G.P.S.(UPLA TANKADA),WATI,Rajasthan,313322,,,,,,,
CHURU,8040702608,2015-16,GPS DOLANATAL UTALAD,BIDASAR,GPS NIMNADIYA UNTALAD,UNTALAD,Rajasthan,331517,,,,,,,
CHURU,8040702609,2015-16,GPS SUNADITAL UTALAD,BIDASAR,GPS NIMNADIYA UNTALAD ,UNTALAD,Rajasthan,331517,,,,,,,
CHURU,8040702701,2015-16,GSSS ,BIDASAR,GPS NIMNADIYA UNTALAD ,GONDUSAR,Rajasthan,331517,,,,,,,
CHURU,8040702801,2015-16,GPS BHOM GONDUSAR,BIDASAR,GPS NIMNADIYA UNTALAD,BHOM GONBUSAR,Rajasthan,331517,,,,,,,
GANGANAGAR,8010687401,2015-16,"GOVT.PRIMARY SCH.,",GHARASANA,GPS 4 P,7 P,Rajasthan,335701,,,,,,,
GANGANAGAR,8010687901,2015-16,"GOVT.PRIMARY SCH.,14-16 P",GHARASANA,GPS 14/16 P,14 P,Rajasthan,335701,,,,,,,
GANGANAGAR,8010688201,2015-16,"GOVT.PRIMARY SCH.,9 KA",GHARASANA,GPS 14/16 P,9 K-A,Rajasthan,335701,,,,,,,
GANGANAGAR,8010688501,2015-16,"GOVT.PRIMARY SCHOOL.,",GHARASANA,GUPS 7 MD,7 MD,Rajasthan,335711,,,,,,,
GANGANAGAR,8010688502,2015-16,PVT.UPS TAGORE PUB.,GHARASANA,GUPS 7 MD,7 MD,Rajasthan,335711,,,,,,,
UDAIPUR,8260207801,2015-16,G.P.S.,BADGAON,G.U.P.S.(KUNDAL),MARUWAS,Rajasthan,313001,,,,,,,
UDAIPUR,8260207802,2015-16,G.U.P.S.,BADGAON,G.U.P.S.(KUNDAL),MARUWAS,Rajasthan,313001,,ChIJ8WDLXzn6azkRyQ3rD2XQxS0,,,,,
UDAIPUR,8260209301,2015-16,G.P.S.,BADGAON,G.P.S.(VAS),TER KA BHILWARA,Rajasthan,313011,,,,,,,
UDAIPUR,8260311204,2015-16,G.P.S.BHIL BASTI ,MAVLI,G.U.P.S.(NANDOLI KHURD),DHUNDHIYA,Rajasthan,313603,,,,,,,
CHURU,8040414501,2015-16,MADRASA FAZUL ISLAM NURIA CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 27,Rajasthan,331001,,,,,,,
CHURU,8040414601,2015-16,"VIDYA VIHAR SHIK. SANS. UPS, CHURU",CHURU,"CHURU,GUPS,NO 7",NP CHURU_WARD NO 28,Rajasthan,331001,,,,,,,
CHURU,8040414701,2015-16,SHRI JAIN SHWETAMBER TERAPANTHI BAL VIHAR SR. SEC. SCH. CHURU,CHURU,"CHURU NO 4,GUPS",NP CHURU_WARD NO 29,Rajasthan,331001,,,,,,,
CHURU,8040110601,2015-16,GUPS BIGHARAN,TARANAGAR,"KHARATWASIYA,GOGTIA BAGHAVATAN,GUPS",BIGHRAN,Rajasthan,331304,,,,,,,
PRATAPGARH (RAJ.),8330204901,2015-16,G.U.P.S. ,PEEPALKHOOT,"GUPS,KARMODA",KARMODA,Rajasthan,327027,,,,,,,
PRATAPGARH (RAJ.),8330204902,2015-16,GPS CHARPOTA PADA,PEEPALKHOOT,"GUPS,KARMODA",KARMODA,Rajasthan,327027,,,,,,,
PRATAPGARH (RAJ.),8330204903,2015-16,GUPS  SANS. KHORAPADA,PEEPALKHOOT,"GUPS,KARMODA",KARMODA,Rajasthan,327029,,,,,,,
PRATAPGARH (RAJ.),8330205001,2015-16,G.U.P.S. ,PEEPALKHOOT,"GUPS,KARMODA",NARU KA KHERA,Rajasthan,327029,,,,,,,
CHURU,8040110908,2015-16,ANJUMAN SSS  ,TARANAGAR,"RAJPURA,HARIJAN BASTI RAJPURA,GUPS",RAJPURA,Rajasthan,331029,,,,,,,
CHURU,8040110909,2015-16,GSS  HARGN BASIT ,TARANAGAR,"RAJPURA,HARIJAN BASTI RAJPURA,GUPS",RAJPURA,Rajasthan,331029,,,,,,,
CHURU,8040110910,2015-16,SARVO VIDHA NIKETAN ,TARANAGAR,"RAJPURA,HARIJAN BASTI RAJPURA,GUPS",RAJPURA,Rajasthan,331029,,,,,,,
CHURU,8040110911,2015-16,B.D.S ,TARANAGAR,"RAJPURA,HARIJAN BASTI RAJPURA,GUPS",RAJPURA,Rajasthan,331029,,,,,,,
GANGANAGAR,8010704104,2015-16,PVT GURUNANK KHALSA SIKSHAN SASNTHAN,RAISINGHNAGAR,GUPS 21 RB,23 RB,Rajasthan,305024,,,,,,,
GANGANAGAR,8010710102,2015-16,PVT GURU HARI KRISHAN HR. SEC. SCHOOL ,RAISINGHNAGAR,GUPS 65 RB,11 PS,Rajasthan,335051,,,,,,,
GANGANAGAR,8010720903,2015-16,PVT MD CHILDREN ACADEMY ,RAISINGHNAGAR,GUPS 12 TK,12 TK,Rajasthan,335051,,,,,,,
GANGANAGAR,8010797402,2015-16,PVT SHRI SATYA NARAYAN ADRASH VIDYA RSNR,RAISINGHNAGAR,GUPS COMPULSARY RSNR,NP RAISINGHNAGAR_WORD 22,Rajasthan,335051,,,,,,,
UDAIPUR,8260523610,2015-16,WISDOM HOME SR.SEC. SAJJAN NAGAR,GIRWA,G.U.P.S.NAGA NAGARI,NN_UDAIPUR_WARD NO. 4,Rajasthan,313001,,,ChIJq5lLWU_lZzkRB33GkBz6dyw,Wisdom Home Senior Secondary School,B,Pincode,313001
UDAIPUR,8260817602,2015-16,G.P.S.,KHERWARA,G.U.P.S.(PALIYA),LARATHI,Rajasthan,313803,,,,,,,
UDAIPUR,8260817607,2015-16,G.P.S.DOPACHA,KHERWARA,G.U.P.S.(PALIYA),LARATHI,Rajasthan,313803,,,,,,,
