City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,j1_place_id,h_category,h_word
VARANASI,9670609003,2015-16,PS MOHAN KALPANA VIDYALAY,CHOLAPUR,AJAGARA,AJAGARA,Uttar Pradesh,221101,,,,,
VARANASI,9670609101,2015-16,PS ,CHOLAPUR,RAUNA KALA,RAUNA KALA,Uttar Pradesh,221104,,,,,
VARANASI,9670609901,2015-16,UPS ,CHOLAPUR,JAGADISH PUR,LASKARPUR,Uttar Pradesh,221208,,,,,
VARANASI,9670610001,2015-16,UPS ,CHOLAPUR,CHAUBEY PUR,BARTHARA KHURD,Uttar Pradesh,221104,,,,,
VARANASI,9670713901,2015-16,PS AADI HINDU,CHIRAIGAON,CHHITAUNI,CHHIAUNI,Uttar Pradesh,221104,,,,,
VARANASI,9670714101,2015-16,PS AADI HINDU P.S.,CHIRAIGAON,GOBARAHA,RAMPUR,Uttar Pradesh,221104,,,,,
VARANASI,9670812201,2015-16,UPS ,PINDRA,BHANPUR,CHHATAON,Uttar Pradesh,221208,,,,,
VARANASI,9670812301,2015-16,UPS ,PINDRA,BHANPUR,BHAIE,Uttar Pradesh,221210,,,,,
VARANASI,9670812302,2015-16,PS ,PINDRA,BHANPUR,BHAIE,Uttar Pradesh,221210,,,,,
VARANASI,9670812401,2015-16,UPS ,PINDRA,BHANPUR,BELARI,Uttar Pradesh,221210,,,,,
VARANASI,9670812501,2015-16,UPS ,PINDRA,RASUL PUR,RASUL PUR,Uttar Pradesh,221204,,ChIJx38A1zPWjzkRHnvCp1iCLwA,,,
VARANASI,9670913901,2015-16,UPS PISANAHARIYA,NAGAR NIGAM,SIKRAUL,SIKARAUL,Uttar Pradesh,221002,,,,,
VARANASI,9670913902,2015-16,UPS SANT SHYAMACHARAN PUBL. SCH,NAGAR NIGAM,SIKRAUL,SIKARAUL,Uttar Pradesh,221002,,,,,
VARANASI,9670914001,2015-16,UPS DURGAKUND,NAGAR NIGAM,BHELUPUR,BHELUPUR,Uttar Pradesh,221006,,,ChIJ8at13fsxjjkRGc0RfAfWwec,A,bhelupur
VARANASI,9670904909,2015-16,RANI MURAR  KUMARI BALIKA I.C. BHOJUBEER,NAGAR NIGAM,SHIVPUR,SHIVPUR--,Uttar Pradesh,221002,,,,,
VARANASI,9670909807,2015-16,MA SARVESHWARI GIRLS U.M.V. DAULATPUR PANDEYPUR,NAGAR NIGAM,SIKRAUL,SIKARAUL--23,Uttar Pradesh,221002,,,,,
VARANASI,9670906314,2015-16,B.S.R.N. INTER COLLEGE FARIDPUR SARNATH,NAGAR NIGAM,ADAMPUR,ADAMPUR,Uttar Pradesh,221007,,,,,
ALLAHABAD,9451709601,2015-16,P.S.,HOLAGARH,BALA DEEH,MADI PUR,Uttar Pradesh,230146,,,,,
ALLAHABAD,9451709701,2015-16,P.S.,HOLAGARH,CHAUBARA,NAU BASTA,Uttar Pradesh,212503,,,,,
ALLAHABAD,9451802702,2015-16,P.S. POTANIHA BHAGANPUR,KARCHHANA,BEER PUR,BHAGAN PUR,Uttar Pradesh,212303,,,,,
ALLAHABAD,9451805004,2015-16,PRAYAG RAJ U.M.V. ,KARCHHANA,DEEHA,AMILO,Uttar Pradesh,212503,,,,,
ALLAHABAD,9451802303,2015-16,SHIV MANGAL GRAMODAYA M.V.,KARCHHANA,KARCHANA,MARAWA,Uttar Pradesh,212307,,,,,
ALLAHABAD,9451811304,2015-16,R.K.SINGH HIGH SCHOOL,KARCHHANA,GHATAWA,HINDU PUR,Uttar Pradesh,212303,,,,,
ALLAHABAD,9451903106,2015-16,SURSATI SAHADEV GUPTA U.M.V. ,BAHARIYA,SIKANDARA,SIKANDARA,Uttar Pradesh,211202,,,,,
ALLAHABAD,9451913902,2015-16,P.S.SHEETALPUR,BAHARIYA,BAKRA  BAD,SHEETAL PUR,Uttar Pradesh,212200,,,,,
ALLAHABAD,9451913501,2015-16,P.S.SARAI JHOD RAY,BAHARIYA,PURE FAOUJ SHAH,SARAI JOGH RAI,Uttar Pradesh,211009,,,,,
MAU,9620704301,2015-16,P S ,BADRAW,KATHIHARI,KATIHARI,Uttar Pradesh,261131,,ChIJ8yVBO6LmkTkRf08W0izq1Is,,,
MAU,9620704302,2015-16,U P S ,BADRAW,KATHIHARI,KATIHARI,Uttar Pradesh,261131,,,,,
MAU,9620801201,2015-16,P S ,FATEHPUR MANDAON,MALKAULI,SAUDI,Uttar Pradesh,221603,,ChIJ8yVBO6LmkTkRf08W0izq1Is,,,
MAU,9620801202,2015-16,M B A VIDYALAY - REC,FATEHPUR MANDAON,MALKAULI,SAUDI,Uttar Pradesh,261135,,,,,
MAU,9620801203,2015-16,AMB B B N P SCHOOL ALAPUR-REC,FATEHPUR MANDAON,MADHUVAN,SAUDI,Uttar Pradesh,261135,,,,,
MAU,9620705701,2015-16,P S ,BADRAW,SIPAH(BADRAOU),CHIUNTIDAND,Uttar Pradesh,275303,,ChIJ8yVBO6LmkTkRf08W0izq1Is,,,
MAU,9620602806,2015-16,SURYANATH DUBE UMB DAULSEPUR,RANIPUR,KHURHAT,DOULASPUR,Uttar Pradesh,261302,,,,,
MAU,9620604702,2015-16,BABA GIRDHARI PAUHARI IC BHIKAMPUR CHIRAIYAKOT,RANIPUR,KHURHAT,BHIKHAMPUR,Uttar Pradesh,261302,,,,,
MAU,9620603508,2015-16,SHRI RAM KARAN INTER COLL FATEHPUR ABBUPUR,RANIPUR,KHURHAT,FATAHPUR,Uttar Pradesh,261302,,,,,
MAU,9620603509,2015-16,S G D SIHAL BALIKA INTER COLLEGE FATHEPUR,RANIPUR,FATAHPUR,FATAHPUR,Uttar Pradesh,261302,,,,,
SIDDHARTHNAGAR,9540909102,2015-16,P.S. KURTHIDIH,BHANVAPUR,SIKAUTHA,KANBHARI,Uttar Pradesh,272192,,,,,
SIDDHARTHNAGAR,9540909201,2015-16,P.S. ,BHANVAPUR,SIKAUTHA,BASTI BARGADAVA,Uttar Pradesh,272192,,,,,
SIDDHARTHNAGAR,9540909202,2015-16,P.M.V. ,BHANVAPUR,SIKAUTHA,BASTI BARGADAVA,Uttar Pradesh,272192,,,,,
SIDDHARTHNAGAR,9541202906,2015-16,P.S. GAJRAHAWA,NAUGARH,PATANI JANGAL,SISAVA GRANT,Uttar Pradesh,272152,,,,,
SIDDHARTHNAGAR,9540103201,2015-16,P.S.  ,BARHANI,BASAHIA,BASAHIA,Uttar Pradesh,272201,,,,,
SIDDHARTHNAGAR,9540105101,2015-16,P.S.  ,BARHANI,PATHARDEI,DHEKAHARI KHURD,Uttar Pradesh,272201,,,,,
SIDDHARTHNAGAR,9540101802,2015-16,J.H.S. BHARAULI,BARHANI,DHEBARUA,DEBARUA,Uttar Pradesh,272201,,,,,
SIDDHARTHNAGAR,9540101804,2015-16,KUBA PUBLIC SCHOOL,BARHANI,DHEBARUA,DEBARUA,Uttar Pradesh,272153,,,,,
SHRAWASTI,9510204801,2015-16,P.S.,HARIHARPUR RANI,TILAKPUR,TILAKPUR,Uttar Pradesh,271831,,,,,
SHRAWASTI,9510209807,2015-16,P.M.S.,HARIHARPUR RANI,RAJAPUR RANI,BHINGA,Uttar Pradesh,271831,,,,,
SHRAWASTI,9510209808,2015-16,P.M.S ,HARIHARPUR RANI,RAJAPUR RANI,BHINGA,Uttar Pradesh,271831,,,,,
SHRAWASTI,9510209811,2015-16,ADARSH JR.BASIC B.V.NIKETAN,HARIHARPUR RANI,RAJAPUR RANI,BHINGA,Uttar Pradesh,271831,,,,,
SHRAWASTI,9510205204,2015-16,ASHOK KUMAR KAILASHNATH UMV KODRI ,HARIHARPUR RANI,GOTHWA,AMWA,Uttar Pradesh,271831,,,,,
SIDDHARTHNAGAR,9540609201,2015-16,P.S.LEHARA(RAMNAGAR),MITHAVAL,SARI KALA,LEHARA URF RAMNAGAR,Uttar Pradesh,272151,,,,,
SIDDHARTHNAGAR,9540307902,2015-16,DARAHARA,BANSI,KODARI,MARCHA,Uttar Pradesh,272153,,,,,
SIDDHARTHNAGAR,9540308001,2015-16,P.S.,BANSI,BASANTPUR,SEKHUIYA,Uttar Pradesh,272153,,,,,
ALLAHABAD,9450303701,2015-16,UPS  KANJASHA,JASARA,JASARA,TIKARI TA KANJASHA,Uttar Pradesh,212107,,,,,
ALLAHABAD,9450406502,2015-16,U.P.S. ,PRATAP PUR,NEDULA,SARYU PATTI,Uttar Pradesh,212401,,,,,
ALLAHABAD,9450406601,2015-16,PS ,PRATAP PUR,NEDULA,NEWADA JANGHAYIE,Uttar Pradesh,212401,,,,,
ALLAHABAD,9450406701,2015-16,PS ,PRATAP PUR,NEDULA,NANDA PUR,Uttar Pradesh,212401,,,,,
ALLAHABAD,9450406702,2015-16,U.P.S. ,PRATAP PUR,NEDULA,NANDA PUR,Uttar Pradesh,212401,,,,,
VARANASI,9670101301,2015-16,PS ,KASHIVIDYAPEETH,KESHARI PUR,KESHARY PUR,Uttar Pradesh,221104,,,,,
VARANASI,9670101302,2015-16,PS CHANDRA GUPT SH,KSHA NIKETA,KASHIVIDYAPEETH,KESHARI PUR,KESHARY PUR,Uttar Pradesh,,,,,
VARANASI,9670101401,2015-16,PS ,KASHIVIDYAPEETH,ALAUDDEEN PUR,MANGAL PUR,Uttar Pradesh,221107,,,,,
VARANASI,9670101601,2015-16,PS ,KASHIVIDYAPEETH,ADITYA NAGAR,ADITYA NAGAR,Uttar Pradesh,221005,,,,,
VARANASI,9670101602,2015-16,PS N.S. PUBLIC SCHOOL,KASHIVIDYAPEETH,ADITYA NAGAR,ADITYA NAGAR,Uttar Pradesh,221005,,,,,
VARANASI,9670102202,2015-16,PS J.P. BAL VIDYALAY,KASHIVIDYAPEETH,TIKARI,SARAI DANGARI,Uttar Pradesh,221011,,,,,
VARANASI,9670102203,2015-16,UPS JP JR. HIGH SCH. SARAIDANG,KASHIVIDYAPEETH,TIKARI,SARAI DANGARI,Uttar Pradesh,221011,,,,,
VARANASI,9670205702,2015-16,PS MAD. MIFTAHUL ULOOM DANDUPUR,BARAGAON,DADU PUR,DANDIPUR,Uttar Pradesh,221201,,,,,
VARANASI,9670205801,2015-16,PS ,BARAGAON,KURI,CHILBILA,Uttar Pradesh,221204,,,,,
VARANASI,9670205802,2015-16,UPS CHILBIALA,BARAGAON,KURI,CHILBILA,Uttar Pradesh,221204,,,,,
GHAZIPUR,9651108601,2015-16,D.B.R.A.V.,ZAMANIA,BETABAR,BETABAR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9651500903,2015-16,U.P.S. HARIHAR PUR,MOHAMMADABAD,SULTANPUR,HARIHARPUR,Uttar Pradesh,233225,,,,,
GHAZIPUR,9651501001,2015-16,P.S. YUSUF PUR 1,MOHAMMADABAD,TIWARIPUR,YUSUFPUR,Uttar Pradesh,233227,,,,,
GHAZIPUR,9651501002,2015-16,P.S. YUSUF PUR 2,MOHAMMADABAD,TIWARIPUR,YUSUFPUR,Uttar Pradesh,233227,,,,,
GHAZIPUR,9650220402,2015-16,P.S. SARAY KOBRA,MANIHARI,MASAUDPUR,SARAI KOBRA,Uttar Pradesh,233001,,,,,
GHAZIPUR,9650220501,2015-16,U.P.S. ,MANIHARI,MASAUDPUR,KARIMULLAHPUR,Uttar Pradesh,275204,,,,,
GHAZIPUR,9650220801,2015-16,SRI HARIDWAR BAL S.N. ,MANIHARI,SARAIGOKUL,GOPPUR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9650220901,2015-16,SMART ASHOK SIKSHA N. ,MANIHARI,MASAUDPUR,KASBA KOIRI,Uttar Pradesh,275205,,,,,
GHAZIPUR,9651704804,2015-16,SHRI SHANKAR GIRLS INTER COLLEGE,NAGAR CHHETRA,NAGAR PALIKA,WARD-24-TEDHIBAZAR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9651704805,2015-16,D.A.V.INTER COLLEGE KOT,NAGAR CHHETRA,NAGAR PALIKA,WARD-24-TEDHIBAZAR,Uttar Pradesh,233001,,,,,
ALLAHABAD,9450506703,2015-16,U.P.S. ,MEJA,SUJANI,PALPATTI,Uttar Pradesh,212106,,ChIJ78FoFFFahTkRzqfdSey5CJw,,,
ALLAHABAD,9450506801,2015-16,PS HARWARI LAKAHAN PUR,MEJA,SUJANI,HARWARI LAKHA PUR,Uttar Pradesh,212106,,,,,
KAUSHAMBI,9440604101,2015-16,P.S. MOHAN NAGAR,MURATGANJ, MAHGAWAN,MOHNA PUR,Uttar Pradesh,212206,,,,,
KAUSHAMBI,9440604102,2015-16,U.P.S. MOHAN NAGAR,MURATGANJ, MAHGAWAN,MOHNA PUR,Uttar Pradesh,212213,,,,,
KAUSHAMBI,9440604103,2015-16,P.S.HATHIA BHEET,MURATGANJ, MAHGAWAN,MOHNA PUR,Uttar Pradesh,212213,,,,,
KAUSHAMBI,9440819701,2015-16,CHOUDHRY DIRGAJ SINGH I.C. SAIYADRAJE PUR,KADA,KADA,SAIYAD RAJE PUR,Uttar Pradesh,212215,,,,,
GHAZIPUR,9651201502,2015-16,U.P.S. MADRAUR,KASIMABAD,MAHDAUR,MAHDAUR,Uttar Pradesh,233230,,,,,
GHAZIPUR,9651201503,2015-16,P.S. CHAKASIYA,KASIMABAD,MAHDAUR,MAHDAUR,Uttar Pradesh,233230,,,,,
GHAZIPUR,9651201504,2015-16,BANSHLOCHAN B.K. RAI S.S.N. ,KASIMABAD,MAHDAUR,MAHDAUR,Uttar Pradesh,233230,,,,,
GHAZIPUR,9651201505,2015-16,A.N.D. INTER COLLEGE,KASIMABAD,RAMGARH,MAHDAUR,Uttar Pradesh,233230,,,,,
GHAZIPUR,9651103903,2015-16,U.P.S. KUSHI,ZAMANIA,MOHAMMAD PUR,KUSI,Uttar Pradesh,232326,,,,,
GHAZIPUR,9651111702,2015-16,,ZAMANIA,TAJPUR MAJHA,RAGHOPUR,Uttar Pradesh,232340,,,,,
GHAZIPUR,9651111703,2015-16,DR. B.R.A.P.S.KOTIYA,ZAMANIA,TAJPUR MAJHA,RAGHOPUR,Uttar Pradesh,232329,,,,,
GHAZIPUR,9650911801,2015-16,P.S. MUSTAFA BAD,ZAKHANIA,KHETABPUR,MUSTAFABAD1,Uttar Pradesh,275205,,,,,
GHAZIPUR,9651703403,2015-16,MAHARSHI VIDYA J.H.S. RAJDEPUR,NAGAR CHHETRA,NAGAR PALIKA,WARD-20-RAJDEPUR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9651703405,2015-16,HOLI CROSS CGH SCHOOL RAUZA,NAGAR CHHETRA,NAGAR PALIKA,WARD-20-RAJDEPUR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9651703406,2015-16,SHAHIDI PUBLIC J.H.S. CHANDAN SHAHID,NAGAR CHHETRA,NAGAR PALIKA,WARD-20-RAJDEPUR,Uttar Pradesh,233001,,,,,
GHAZIPUR,9651703407,2015-16,S.M.V.P.SCHOOL RAUZA,NAGAR CHHETRA,NAGAR PALIKA,WARD-20-RAJDEPUR,Uttar Pradesh,223300,,,,,
ALLAHABAD,9450400702,2015-16,JARIBANDHAN INTER COLLEGE,PRATAP PUR,MOHI UDDIN PUR,BAIJ NATH GANJ GORINGO,Uttar Pradesh,212404,,,,,
ALLAHABAD,9450400801,2015-16,PS ,PRATAP PUR,MOHI UDDIN PUR,HIRA MAN PUR,Uttar Pradesh,212402,,,,,
ALLAHABAD,9450408501,2015-16,PS ,PRATAP PUR,ARA KHURD,ARA KHURD,Uttar Pradesh,212402,,,,,
ALLAHABAD,9450408502,2015-16,UPS ,PRATAP PUR,ARA KHURD,ARA KHURD,Uttar Pradesh,212402,,,,,
VARANASI,9670516101,2015-16,PS ,ARAJILINES,JAKKHINI,BAHADUR PUR,Uttar Pradesh,221305,,,,,
VARANASI,9670516102,2015-16,PS NATIONAL PUBLIC SCHOOL,ARAJILINES,JAKKHINI,BAHADUR PUR,Uttar Pradesh,221305,,,,,
